Emotions,Path
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_05/03-01-07-02-01-02-05.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_05/03-01-07-02-02-01-05.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_05/03-01-07-02-02-02-05.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_05/03-01-08-01-01-01-05.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_05/03-01-08-01-01-02-05.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_05/03-01-08-01-02-01-05.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_05/03-01-08-01-02-02-05.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_05/03-01-08-02-01-01-05.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_05/03-01-08-02-01-02-05.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_05/03-01-08-02-02-01-05.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_05/03-01-08-02-02-02-05.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-01-01-01-01-06.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-01-01-01-02-06.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-01-01-02-01-06.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-01-01-02-02-06.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-02-01-01-01-06.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-02-01-01-02-06.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-02-01-02-01-06.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-02-01-02-02-06.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-02-02-01-01-06.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-02-02-01-02-06.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-02-02-02-01-06.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-02-02-02-02-06.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-03-01-01-01-06.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-03-01-01-02-06.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-03-01-02-01-06.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-03-01-02-02-06.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-03-02-01-01-06.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-03-02-01-02-06.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-03-02-02-01-06.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-03-02-02-02-06.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-04-01-01-01-06.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-04-01-01-02-06.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-04-01-02-01-06.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-04-01-02-02-06.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-04-02-01-01-06.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-04-02-01-02-06.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-04-02-02-01-06.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-04-02-02-02-06.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-05-01-01-01-06.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-05-01-01-02-06.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-05-01-02-01-06.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-05-01-02-02-06.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-05-02-01-01-06.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-05-02-01-02-06.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-05-02-02-01-06.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-05-02-02-02-06.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-06-01-01-01-06.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-06-01-01-02-06.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-06-01-02-01-06.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-06-01-02-02-06.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-06-02-01-01-06.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-06-02-01-02-06.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-06-02-02-01-06.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-06-02-02-02-06.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-07-01-01-01-06.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-07-01-01-02-06.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-07-01-02-01-06.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-07-01-02-02-06.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-07-02-01-01-06.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-07-02-01-02-06.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-07-02-02-01-06.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-07-02-02-02-06.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-08-01-01-01-06.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-08-01-01-02-06.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-08-01-02-01-06.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-08-01-02-02-06.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-08-02-01-01-06.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-08-02-01-02-06.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-08-02-02-01-06.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_06/03-01-08-02-02-02-06.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-01-01-01-01-07.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-01-01-01-02-07.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-01-01-02-01-07.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-01-01-02-02-07.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-02-01-01-01-07.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-02-01-01-02-07.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-02-01-02-01-07.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-02-01-02-02-07.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-02-02-01-01-07.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-02-02-01-02-07.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-02-02-02-01-07.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-02-02-02-02-07.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-03-01-01-01-07.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-03-01-01-02-07.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-03-01-02-01-07.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-03-01-02-02-07.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-03-02-01-01-07.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-03-02-01-02-07.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-03-02-02-01-07.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-03-02-02-02-07.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-04-01-01-01-07.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-04-01-01-02-07.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-04-01-02-01-07.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-04-01-02-02-07.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-04-02-01-01-07.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-04-02-01-02-07.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-04-02-02-01-07.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-04-02-02-02-07.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-05-01-01-01-07.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-05-01-01-02-07.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-05-01-02-01-07.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-05-01-02-02-07.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-05-02-01-01-07.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-05-02-01-02-07.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-05-02-02-01-07.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-05-02-02-02-07.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-06-01-01-01-07.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-06-01-01-02-07.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-06-01-02-01-07.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-06-01-02-02-07.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-06-02-01-01-07.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-06-02-01-02-07.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-06-02-02-01-07.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-06-02-02-02-07.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-07-01-01-01-07.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-07-01-01-02-07.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-07-01-02-01-07.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-07-01-02-02-07.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-07-02-01-01-07.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-07-02-01-02-07.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-07-02-02-01-07.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-07-02-02-02-07.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-08-01-01-01-07.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-08-01-01-02-07.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-08-01-02-01-07.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-08-01-02-02-07.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-08-02-01-01-07.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-08-02-01-02-07.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-08-02-02-01-07.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_07/03-01-08-02-02-02-07.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-01-01-01-01-08.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-01-01-01-02-08.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-01-01-02-01-08.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-01-01-02-02-08.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-02-01-01-01-08.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-02-01-01-02-08.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-02-01-02-01-08.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-02-01-02-02-08.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-02-02-01-01-08.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-02-02-01-02-08.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-02-02-02-01-08.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-02-02-02-02-08.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-03-01-01-01-08.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-03-01-01-02-08.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-03-01-02-01-08.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-03-01-02-02-08.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-03-02-01-01-08.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-03-02-01-02-08.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-03-02-02-01-08.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-03-02-02-02-08.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-04-01-01-01-08.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-04-01-01-02-08.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-04-01-02-01-08.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-04-01-02-02-08.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-04-02-01-01-08.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-04-02-01-02-08.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-04-02-02-01-08.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-04-02-02-02-08.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-05-01-01-01-08.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-05-01-01-02-08.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-05-01-02-01-08.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-05-01-02-02-08.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-05-02-01-01-08.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-05-02-01-02-08.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-05-02-02-01-08.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-05-02-02-02-08.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-06-01-01-01-08.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-06-01-01-02-08.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-06-01-02-01-08.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-06-01-02-02-08.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-06-02-01-01-08.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-06-02-01-02-08.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-06-02-02-01-08.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-06-02-02-02-08.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-07-01-01-01-08.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-07-01-01-02-08.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-07-01-02-01-08.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-07-01-02-02-08.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-07-02-01-01-08.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-07-02-01-02-08.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-07-02-02-01-08.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-07-02-02-02-08.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-08-01-01-01-08.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-08-01-01-02-08.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-08-01-02-01-08.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-08-01-02-02-08.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-08-02-01-01-08.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-08-02-01-02-08.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-08-02-02-01-08.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_08/03-01-08-02-02-02-08.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-01-01-01-01-09.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-01-01-01-02-09.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-01-01-02-01-09.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-01-01-02-02-09.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-02-01-01-01-09.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-02-01-01-02-09.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-02-01-02-01-09.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-02-01-02-02-09.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-02-02-01-01-09.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-02-02-01-02-09.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-02-02-02-01-09.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-02-02-02-02-09.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-03-01-01-01-09.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-03-01-01-02-09.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-03-01-02-01-09.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-03-01-02-02-09.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-03-02-01-01-09.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-03-02-01-02-09.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-03-02-02-01-09.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-03-02-02-02-09.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-04-01-01-01-09.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-04-01-01-02-09.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-04-01-02-01-09.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-04-01-02-02-09.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-04-02-01-01-09.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-04-02-01-02-09.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-04-02-02-01-09.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-04-02-02-02-09.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-05-01-01-01-09.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-05-01-01-02-09.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-05-01-02-01-09.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-05-01-02-02-09.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-05-02-01-01-09.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-05-02-01-02-09.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-05-02-02-01-09.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-05-02-02-02-09.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-06-01-01-01-09.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-06-01-01-02-09.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-06-01-02-01-09.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-06-01-02-02-09.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-06-02-01-01-09.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-06-02-01-02-09.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-06-02-02-01-09.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-06-02-02-02-09.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-07-01-01-01-09.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-07-01-01-02-09.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-07-01-02-01-09.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-07-01-02-02-09.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-07-02-01-01-09.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-07-02-01-02-09.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-07-02-02-01-09.wav
disgust,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-07-02-02-02-09.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-08-01-01-01-09.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-08-01-01-02-09.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-08-01-02-01-09.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-08-01-02-02-09.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-08-02-01-01-09.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-08-02-01-02-09.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-08-02-02-01-09.wav
surprise,C:\Users\Farid\Desktop\test\ravdess\Actor_09/03-01-08-02-02-02-09.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-01-01-01-01-10.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-01-01-01-02-10.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-01-01-02-01-10.wav
neutral,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-01-01-02-02-10.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-02-01-01-01-10.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-02-01-01-02-10.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-02-01-02-01-10.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-02-01-02-02-10.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-02-02-01-01-10.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-02-02-01-02-10.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-02-02-02-01-10.wav
calm,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-02-02-02-02-10.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-03-01-01-01-10.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-03-01-01-02-10.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-03-01-02-01-10.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-03-01-02-02-10.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-03-02-01-01-10.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-03-02-01-02-10.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-03-02-02-01-10.wav
happy,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-03-02-02-02-10.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-04-01-01-01-10.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-04-01-01-02-10.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-04-01-02-01-10.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-04-01-02-02-10.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-04-02-01-01-10.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-04-02-01-02-10.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-04-02-02-01-10.wav
sad,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-04-02-02-02-10.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-05-01-01-01-10.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-05-01-01-02-10.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-05-01-02-01-10.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-05-01-02-02-10.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-05-02-01-01-10.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-05-02-01-02-10.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-05-02-02-01-10.wav
angry,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-05-02-02-02-10.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-06-01-01-01-10.wav
fear,C:\Users\Farid\Desktop\test\ravdess\Actor_10/03-01-06-01-01-02-10.wav
